NELE,lon,lat,Area_m2
135,-83.1989567,41.98309979,1327123.7
136,-83.18927167,41.98325729,1286893.8
137,-83.18356287,41.97827187,1573453.7
138,-83.17280953,41.97970765,1569191.5
139,-83.16562593,41.97463521,1773223.2
140,-83.15510557,41.97660969,1689995.6
141,-83.1476203,41.9711159,1956898
142,-83.13829257,41.97342525,1600020.3
143,-83.12977483,41.96964541,1652073.3
144,-83.12797947,41.96384248,1407427.6
145,-83.11659317,41.96150962,1465095.2
146,-83.10867453,41.9655571,1840548.2
147,-83.09657133,41.96409508,2182165.6
148,-83.0922711,41.95722833,2229735.7
149,-83.0784317,41.95648509,2386789.6
150,-83.0742929,41.94943591,2429179.9
151,-83.05982507,41.94869508,2647054.2
152,-83.05116297,41.95614846,2662183.7
153,-83.03817823,41.95629616,2698005.3
154,-83.03386,41.96566652,2788707.6
155,-83.0228903,41.96680318,2833671.3
156,-83.02049093,41.97730545,2882050.3
157,-83.00920593,41.97833775,2883528.7
158,-83.00541953,41.98843757,2989454.6
159,-82.99292047,41.98887891,2983456.9
160,-82.98902047,41.99922142,3093733.3
161,-82.97766243,41.99985675,2994756.4
162,-83.2156357,41.98912227,1299781.3
163,-83.21900303,41.98345932,1570244
164,-83.21348427,41.97661244,1712647.3
165,-83.20414733,41.97664174,1840182.4
166,-83.19800073,41.97014819,1881735.8
167,-83.1871013,41.97162096,1767747.8
168,-83.17972217,41.9658587,1808651.3
169,-83.16900013,41.9674372,1880343.6
170,-83.16170413,41.96133168,1963906
171,-83.15084467,41.96303589,2084314.1
172,-83.14406447,41.95654122,2086195.3
173,-83.1340861,41.95783891,1819347.7
174,-83.12769937,41.95260871,1321155.3
175,-83.11696737,41.95541024,1462796.6
176,-83.1113782,41.95113461,1354240
177,-83.10054887,41.951412,1938886.7
178,-83.0976305,41.9444023,1864105.5
179,-83.08521393,41.9431694,2491616.4
180,-83.08166233,41.93600871,2630576.2
181,-83.0666348,41.93519884,2542211.2
182,-83.05571857,41.9416187,2558420.7
183,-83.04017527,41.94033602,2863677.4
184,-83.03129703,41.94756026,3003728.8
185,-83.01820593,41.94764559,2883735
186,-83.01411743,41.95751831,2797368.4
187,-83.002999,41.95864674,2850017.2
188,-83.00048687,41.9689639,2847229.5
189,-82.9890777,41.9699041,2866599
190,-82.9852977,41.97971921,2907613.6
191,-82.9726249,41.98017158,2948608.8
192,-82.96888963,41.98996664,2885442.6
193,-82.95740913,41.9905217,2822944.7
194,-83.2288102,41.98234133,1481305.4
195,-83.23038297,41.97468472,1653442
196,-83.22075787,41.9707292,1770805.9
197,-83.21970347,41.96383182,1961678.5
198,-83.21054407,41.95965473,1882029.9
199,-83.20087087,41.96230514,2146557
200,-83.19320847,41.95596074,1930099.1
201,-83.1829592,41.9580416,2062692.4
202,-83.17597257,41.95152404,2013488.6
203,-83.16543953,41.95323564,2088513.4
204,-83.15821867,41.9459268,2375113.4
205,-83.14770307,41.94752818,2187072.2
206,-83.13779517,41.9411267,2754373.5
207,-83.12776983,41.9449098,1988375.7
208,-83.11783777,41.9436352,1578087.9
209,-83.10991983,41.93952249,2199036.6
210,-83.1083195,41.93230389,2934350.4
211,-83.09247857,41.93002289,2515734.1
212,-83.08819683,41.92279321,2620059.2
213,-83.07343347,41.92176247,2482150.8
214,-83.06268767,41.92818231,2542387.7
215,-83.04889993,41.92727478,2276201
216,-83.03730377,41.93300857,2461825.3
217,-83.02559177,41.9282734,2550831.3
218,-83.01412303,41.92984855,2870398.1
219,-83.01039223,41.9391283,3036438.3
220,-82.9972817,41.94003234,2785701.7
221,-82.99397697,41.9496781,2788711.3
222,-82.9824618,41.9510678,2824678.2
